person,label
4886f805,0.0
0297fc1e,0.067
2d681dd8,0.02
cccea85e,0.077
4c8a8b93,0.065
29ebb414,0.0
3dc1950f,0.148
8ea4c165,0.304
d8cfe234,0.215
d6bc64df,0.057
ec9c4059,0.089
d21b8e6b,0.0
2a724d87,0.0
686c49c9,0.226
a08d42ea,0.265
c98f5cf1,0.285
d614c608,0.0
e45acd53,0.33
7d876393,0.081
f5af843f,0.087
5a724794,0.074
00091926,0.078
55d1e0ee,0.094
f87be219,0.005
49c19e32,0.103
bb78c182,0.00176
e2bfe05f,0.03587987179487179
0e9d0ae2,0.004
cb68850c,0.001
f30ef764,0.005
ca5fa859,0.023
4f06f2dd,0.127
872d9b83,0.184
dca7e4fa,0.03
3cb2bfc5,0.022
0ec008ff,0.405
19876c5b,0.077
36606944,0.151
3c36c384,0.008
25ec69e5,0.074
02a9fd4c,0.048
e9c847d7,0.057
8f7d334b,0.09
fd683087,0.249
aa5593bc,0.182
e39a4b4f,0.076
8aeb37ef,0.125
c76b8417,0.046
b51c3897,0.109
49013e40,0.101
18ad1f7c,0.085
ea679233,0.423
39df97e0,0.186
4473cb91,0.003952380952380953
a90bb821,0.076
66f3c5a8,0.035
6972936f,0.038
f484e20b,0.227
bb5c496a,0.106
fa15dd75,0.14
8036d563,0.017
051b11a7,0.145
a708f6b7,0.021
8af64425,0.081
290a4ade,0.107
5ea8fd22,0.053
73f02c61,0.102
b364ac0f,0.147
27c4deeb,0.155
1a8f3e6d,0.112
75aea7ed,0.021
68bee360,0.089
7363f782,0.167
5f5a1be2,0.086
f2ab91ec,0.049
f7e13865,0.108
f70a331b,0.127
69fe770b,0.038
73b5ddeb,0.211
3aae4375,0.123
2beddf66,0.006
17b858f9,0.026
f75b14e8,0.01
67ec6a13,0.148
2466dcee,0.494
bbac557c,0.045
57d078f9,0.432
6791adff,0.057
2fca45c7,0.106
ee7d1909,0.041
b87bf3c0,0.265
229a0726,0.01
e28fa553,0.137
e2d69e04,0.098
f99328eb,0.142
7a98e5bb,0.019
60d720a3,0.031
8f6d708a,0.031
91a293e8,0.128
dbff7610,0.028
c104bc78,0.13
b3bf2435,0.263
8611216e,0.136
2454293c,0.012
82d31364,0.047
f1f2d6aa,0.024
45599974,0.28
b8112306,0.009
7e317918,0.014
a30504be,0.048
f88200f4,0.32
97267956,0.152
2fec9bbc,0.162
4e5d317d,0.0
f8e37457,0.067
9411a009,0.03
166bf528,0.117
5429fbb6,0.003
49ff6d6e,0.091
19c94e0b,0.139
0ff75b46,0.265
224613bb,0.217
179720f1,0.047
1070bca3,0.032
a5d31df5,0.012
4e5c868d,0.187
653f68fe,0.005
3ebc771d,0.345
517bf648,0.6545419877639832
254f8761,0.07
c844a662,0.125
7f6c85e8,0.0
35ee0cc8,0.378
c1d99fe2,0.258
55fc24ef,0.287
77e489c7,0.09
62ba2fba,0.006
ae4bfc26,0.071
22f1d021,0.073
72368746,0.0
55e87de8,0.186
c56dff49,0.013
ba724fb6,0.118
b97b9d93,0.002
7025ac12,0.092
bada76d3,0.128
70a325eb,0.691
fb19ca5a,0.151
f6cd21a1,0.062
91752493,0.0
92059fdf,0.001
4d233ac6,0.04
46a1efca,0.056
23b90f81,0.071
2606c8da,0.023
23e6906d,0.033
cf75487d,0.0
e349f752,0.225
d4e83772,0.118
9952a8e0,0.0
edc38036,0.129
e4b71e52,0.094
ed39978f,0.14
5b7a7697,0.107
a4e3e0ba,0.0
1033c7f1,0.055
a16a0211,0.158
2df10e76,0.05
732df811,0.114
80c8726f,0.06
619bff69,0.007
ed7382a8,0.16
3043e183,0.012
8ab5791a,0.09
6929face,0.112
6b5088da,0.078
685dc7f7,0.151
919bcd48,0.057
9a00037e,0.052
55f7ae64,0.006
fed81014,0.463
fd5e4491,0.091
e9c994b8,0.034
e4594222,0.114
a7b6e286,0.16
991360db,0.033
c5a0bc36,0.157
2287c9f7,0.252
0c9d90d6,0.004141317733990148
41bfa3b9,0.084
b00a6f27,0.09
8a4b69ec,0.16
6ea9ffd2,0.149
d0c5aa85,0.118
fc4b841d,0.2899375
db1a3c00,0.02
9b4f540a,0.117
7ac0c607,0.106
af95a93c,0.004
a8ca0988,0.231
e8a1b038,0.0
bb31d716,0.131
b86b400e,0.0
852abc08,0.025
ad4b1e5f,0.35095238095238096
2ff5b818,0.0
bf15584a,0.075
4a3c0db7,0.0
5f7f0c55,0.34
9df0e397,0.047
03302054,0.101
000e4d9e,0.112
ad5943a9,0.125
f431031a,0.01955137844611529
ee8dd67c,0.0
656072a3,0.052
846372d4,0.134
d1fd6caa,0.133
8a0a63af,0.049
670639bc,0.058
ae5b92db,0.073
41ccd2c6,0.068
bdd23ab2,0.107
270b42e3,0.017
ef8b96c3,0.12
bb8116c9,0.342
594a53d3,0.144
108caf2c,0.065
18a185e1,0.0
ff9fc164,0.022
8a590d23,0.033
166a19f7,0.24573333333333336
ee20c405,0.014
814db0b5,0.046
b0f9b8a1,0.045
73ffc5f4,0.0
0aa2b925,0.029
f4bae3c6,0.0
92c81866,0.031
6f0826b2,0.049
d1a14d14,0.031
1e13d639,0.24
3956b1e1,0.014
f2c6d57c,0.0
29f80519,0.0
04b13fd2,0.032
ce36e512,0.038
8a4ba4e2,0.109
1443cf62,0.025
5125c494,0.028888888888888888
604d8035,0.124
80866567,0.025
9bb623c2,0.074
a53a1a30,0.039
103e0f7d,0.365
cd3a841d,0.0
fb6b16a8,0.174
89f62393,0.124
2c85b2fa,0.098
75950669,0.039
d84ae194,0.084
77bad6f5,0.0
2b213b2c,0.659
8808e6a9,0.105
b5a09122,0.001
bf46c410,0.034
42cc8a1d,0.359
0744ba92,0.17
b9996281,0.133
471fb833,0.017
c449fd13,0.019
b059104a,0.073
ba61790b,0.04462906911928651
deb5fa7a,0.23
71d5d6e4,0.052
766c271c,0.198
df127511,0.299
f7e04556,0.071
abe38822,0.05
0e3c91a6,0.024
efae8f71,0.059
31c9f140,0.149
aefc81ce,0.048
1fea3435,0.069
54d47ad8,0.044597604714400385
df80a783,0.0
9bc43f7e,0.096
3e066076,0.6014308670939763
67bdc946,0.105
32234ad9,0.082
77b15b7d,0.054
2e515d51,0.12
37a0837e,0.0
3dbfcd14,0.064
5fdd715e,0.089
1d762b15,0.063
9a0373f1,0.0
9bf77a71,0.059
32e355cf,0.069
134cc999,0.12
3a44e639,0.085
2c90f768,0.056
fb23d1c3,0.054
a5d3c172,0.153
583bd9b9,0.9540556492520561
f5e0b71d,0.31230800207968956
360675d0,0.4248439023958475
cb61f387,0.071
017fd805,0.065
99e4baf5,0.201
56b0c4d1,0.206
b5ea45de,0.076
e0848af4,0.084
811b25fd,0.018
33b6da32,0.0
62f88039,0.006
d010170b,0.096
27c58569,0.019
847b40a8,0.2696904398677854
aea593cd,0.199
0d491a97,0.001
a0cf85b8,0.0
a7a651a9,0.0304093567251462
8ed9e6f4,0.302
91274e51,0.052
078baec6,0.049
f3db7ee1,0.296
5dc80ac6,0.0
bb62445d,0.276
cd883145,0.081
35259134,0.049
08a82be5,0.042
5842c17d,0.556
b261977e,0.064
8aa5e0d6,0.246
45228a20,0.022
7f302cb0,0.15
9df21469,0.102
baf3e801,0.119
66b1e1fc,0.056
fdfa8de9,0.029
cdd8bff0,0.049
019ac712,0.0
c96353d2,0.049
33fd8777,0.017
57fda37b,0.015
8d4871e5,0.102
d8c206b4,0.042
50ddf0e6,0.052
4540ea89,0.087
8e96b9f3,0.11
0d4ff378,0.001
15a387cc,0.003958333333333334
e5ca4cf8,0.01
3b63c0e7,0.002
1c895a10,0.079
16240ed7,0.178
5ccda85d,0.001
9c4c7c4f,0.135
469142a7,0.03
ac1583f1,0.102
55c12370,0.09
7bc14702,0.053
f8b0b255,0.042
404a56c8,0.042
845c97aa,0.093
3250bb4c,0.242
f008fa79,0.067
814907c9,0.005
59c58e14,0.008
e0cd7123,0.085
592d9dcc,0.054
c5d94b7e,0.0
e1bebdaa,0.0
16d8c2b9,0.0
9e150660,0.001
efa4a3a1,0.006
78c0f1fb,0.028
ba1bec4f,0.08695238095238095
dba88b07,0.074
e57fce7a,0.154
59005136,0.047
b4fb0b1d,0.0
f3753b33,0.148
966e44f8,0.074
25b582b8,0.011
65f8d5cb,0.065
b3c6d9c9,0.073
e05a69dc,0.174
686caccf,0.057
7aaf6a5d,0.105
935b71e8,0.018
069b6014,0.0
d1234702,0.1
031bee81,0.015
a1366568,0.265
d4d0574c,0.222
a11ca9f4,0.104
2a617e51,0.111
69e0170f,0.166
103fe4b6,0.0
add5b338,0.205
a1c4090f,0.09
1a3bbb33,0.016
a5387dcc,0.035
04e15d15,0.072
f5b98da1,0.0
8e442787,0.083
6fe3a568,0.11711283643892341
b8d43db3,0.142
a9eeb58b,0.066
b0d6ddf1,0.008
1b384b8d,0.208
08198e83,0.039
cd08ab61,0.166
192e84d1,0.103
208e734b,0.076
d23b1163,0.02
81db8dd5,0.033
0f9d51be,0.009
dc007bc9,0.2
e763d0f8,0.036
fc307b33,0.019
3ee07c70,0.161
7ccb064f,0.238
a3fc70c1,0.029
0163bf88,0.104
bf3da248,0.076
c832930f,0.0
f3fadb05,0.113
6d3bab2f,0.109
8a0e24c0,0.046
7ded5da1,0.005
5eeecfe0,0.414
0c26d732,0.029
7c3d12b2,0.066
80746f28,0.103
23f11762,0.051
5d4b9dc0,0.024
5a01d36f,0.241
b58f6306,0.017
fb48152b,0.061
8039aded,0.0
57a4f1f7,0.008
a7ffa917,0.147
4902ccf4,0.09
f79ea750,0.2
73d5de02,0.016
e573d6b3,0.258
48b39f36,0.0
3bf1d319,0.013
577e62c4,0.001
e0191a9e,0.021
35126bd3,0.153
49dd019b,0.003
412b3889,0.188
c92bee7b,0.055
8d34d460,0.041
2c6b5b48,0.008666666666666666
a8ece5ba,0.311
9851c1a7,0.228
8d81917c,0.126
b10a91bd,0.002
10c4a037,0.126
50fd68d1,0.275
64ac1f09,0.015
96331f0c,0.291
fd66d9ab,0.11
a92dc13e,0.241
685aebd9,0.0
fb81265f,0.097
b46f1c70,0.082
