person,label
4886f805,0.002
0297fc1e,0.077
2d681dd8,0.035
cccea85e,0.171
4c8a8b93,0.079
29ebb414,0.005
3dc1950f,0.16
8ea4c165,0.282
d8cfe234,0.234
d6bc64df,0.037
ec9c4059,0.078
d21b8e6b,0.0
2a724d87,0.0
686c49c9,0.144
a08d42ea,0.087
c98f5cf1,0.107
d614c608,0.003
e45acd53,0.347
7d876393,0.116
f5af843f,0.193
5a724794,0.055
00091926,0.075
55d1e0ee,0.031
f87be219,0.003
49c19e32,0.051
bb78c182,0.004
e2bfe05f,0.028
0e9d0ae2,0.004
cb68850c,0.002
f30ef764,0.004
ca5fa859,0.021
4f06f2dd,0.15
872d9b83,0.139
dca7e4fa,0.049
3cb2bfc5,0.031
0ec008ff,0.381
19876c5b,0.044
36606944,0.213
3c36c384,0.002
25ec69e5,0.01
02a9fd4c,0.027
e9c847d7,0.067
8f7d334b,0.055
fd683087,0.264
aa5593bc,0.19
e39a4b4f,0.06
8aeb37ef,0.095
c76b8417,0.231
b51c3897,0.068
49013e40,0.099
18ad1f7c,0.106
ea679233,0.271
39df97e0,0.087
4473cb91,0.006
a90bb821,0.082
66f3c5a8,0.036
6972936f,0.005
f484e20b,0.179
bb5c496a,0.108
fa15dd75,0.118
8036d563,0.012
051b11a7,0.032
a708f6b7,0.0034089635854341735
8af64425,0.083
290a4ade,0.096
5ea8fd22,0.043
73f02c61,0.077
b364ac0f,0.176
27c4deeb,0.011
1a8f3e6d,0.125
75aea7ed,0.022
68bee360,0.19
7363f782,0.119
5f5a1be2,0.129
f2ab91ec,0.062
f7e13865,0.089
f70a331b,0.043
69fe770b,0.048
73b5ddeb,0.054
3aae4375,0.111
2beddf66,0.001
17b858f9,0.01
f75b14e8,0.007
67ec6a13,0.182
2466dcee,0.491
bbac557c,0.072
57d078f9,0.323
6791adff,0.062
2fca45c7,0.11
ee7d1909,0.034
b87bf3c0,0.096
229a0726,0.015
e28fa553,0.181
e2d69e04,0.13
f99328eb,0.151
7a98e5bb,0.01
60d720a3,0.053
8f6d708a,0.027
91a293e8,0.09
dbff7610,0.014
c104bc78,0.035
b3bf2435,0.193
8611216e,0.319
2454293c,0.003
82d31364,0.041
f1f2d6aa,0.019
45599974,0.077
b8112306,0.023
7e317918,0.004
a30504be,0.066
f88200f4,0.114
97267956,0.182
2fec9bbc,0.067
4e5d317d,0.001
f8e37457,0.072
9411a009,0.034
166bf528,0.255
5429fbb6,0.005
49ff6d6e,0.203
19c94e0b,0.144
0ff75b46,0.163
224613bb,0.122
179720f1,0.079
1070bca3,0.034
a5d31df5,0.026
4e5c868d,0.094
653f68fe,0.005
3ebc771d,0.242
517bf648,0.775509305763312
254f8761,0.299
c844a662,0.124
7f6c85e8,0.0
35ee0cc8,0.063
c1d99fe2,0.196
55fc24ef,0.088
77e489c7,0.019
62ba2fba,0.002
ae4bfc26,0.05
22f1d021,0.075
72368746,0.001
55e87de8,0.374
c56dff49,0.02993548387096774
ba724fb6,0.04
b97b9d93,0.002
7025ac12,0.023
bada76d3,0.609
70a325eb,0.433
fb19ca5a,0.12
f6cd21a1,0.05
91752493,0.0
92059fdf,0.0
4d233ac6,0.061
46a1efca,0.042
23b90f81,0.009
2606c8da,0.011
23e6906d,0.071
cf75487d,0.0
e349f752,0.213
d4e83772,0.11
9952a8e0,0.0
edc38036,0.128
e4b71e52,0.043
ed39978f,0.095
5b7a7697,0.061
a4e3e0ba,0.0
1033c7f1,0.037
a16a0211,0.12
2df10e76,0.135
732df811,0.19
80c8726f,0.031
619bff69,0.0
ed7382a8,0.113
3043e183,0.02296
8ab5791a,0.099
6929face,0.189
6b5088da,0.037
685dc7f7,0.030708311181995393
919bcd48,0.0937511961722488
9a00037e,0.04
55f7ae64,0.0
fed81014,0.034
fd5e4491,0.002
e9c994b8,0.079
e4594222,0.06
a7b6e286,0.201
991360db,0.039
c5a0bc36,0.046
2287c9f7,0.118
0c9d90d6,0.007
41bfa3b9,0.07
b00a6f27,0.278
8a4b69ec,0.089
6ea9ffd2,0.077
d0c5aa85,0.031
fc4b841d,0.3897930434782609
db1a3c00,0.008
9b4f540a,0.165
7ac0c607,0.185
af95a93c,0.0
a8ca0988,0.272
e8a1b038,0.0
bb31d716,0.246
b86b400e,0.0
852abc08,0.009
ad4b1e5f,0.17188461538461539
2ff5b818,0.0
bf15584a,0.057
4a3c0db7,0.0
5f7f0c55,0.116
9df0e397,0.122
03302054,0.134
000e4d9e,0.075
ad5943a9,0.029
f431031a,0.003
ee8dd67c,0.0
656072a3,0.029
846372d4,0.006
d1fd6caa,0.058
8a0a63af,0.053
670639bc,0.104
ae5b92db,0.033
41ccd2c6,0.06
bdd23ab2,0.017
270b42e3,0.014
ef8b96c3,0.058
bb8116c9,0.433
594a53d3,0.053
108caf2c,0.097
18a185e1,0.0
ff9fc164,0.011
8a590d23,0.014
166a19f7,0.4370643486513742
ee20c405,0.008
814db0b5,0.048
b0f9b8a1,0.019704545454545454
73ffc5f4,0.0
0aa2b925,0.043
f4bae3c6,0.0
92c81866,0.064
6f0826b2,0.055
d1a14d14,0.019
1e13d639,0.189
3956b1e1,0.02
f2c6d57c,0.0
29f80519,0.0
04b13fd2,0.098
ce36e512,0.125
8a4ba4e2,0.208
1443cf62,0.028
5125c494,0.0014850948509485095
604d8035,0.024
80866567,0.008
9bb623c2,0.049
a53a1a30,0.065
103e0f7d,0.402
cd3a841d,0.0
fb6b16a8,0.053
89f62393,0.061
2c85b2fa,0.061
75950669,0.055
d84ae194,0.104
77bad6f5,0.0
2b213b2c,0.48
8808e6a9,0.147
b5a09122,0.0139375
bf46c410,0.026
42cc8a1d,0.405
0744ba92,0.04
b9996281,0.072
471fb833,0.015
c449fd13,0.024
b059104a,0.019
ba61790b,0.033
deb5fa7a,0.204
71d5d6e4,0.049
766c271c,0.102
df127511,0.386
f7e04556,0.051
abe38822,0.013
0e3c91a6,0.021
efae8f71,0.049
31c9f140,0.065
aefc81ce,0.032
1fea3435,0.021
54d47ad8,0.027566666666666666
df80a783,0.0
9bc43f7e,0.1
3e066076,0.6522426398085871
67bdc946,0.196
32234ad9,0.167
77b15b7d,0.059
2e515d51,0.151
37a0837e,0.0
3dbfcd14,0.018
5fdd715e,0.093
1d762b15,0.098
9a0373f1,0.0
9bf77a71,0.024
32e355cf,0.064
134cc999,0.074
3a44e639,0.095
2c90f768,0.052
fb23d1c3,0.051
a5d3c172,0.026
583bd9b9,0.9495215694975314
f5e0b71d,0.4367565502021763
360675d0,0.2796909188041868
cb61f387,0.059
017fd805,0.019
99e4baf5,0.099
56b0c4d1,0.312
b5ea45de,0.109
e0848af4,0.071
811b25fd,0.013
33b6da32,0.0
62f88039,0.002
d010170b,0.156
27c58569,0.015
847b40a8,0.393
aea593cd,0.343
0d491a97,0.0028219696969696974
a0cf85b8,0.0
a7a651a9,0.024629032258064516
8ed9e6f4,0.088
91274e51,0.072
078baec6,0.027
f3db7ee1,0.141
5dc80ac6,0.0
bb62445d,0.112
cd883145,0.073
35259134,0.041
08a82be5,0.018
5842c17d,0.499
b261977e,0.017
8aa5e0d6,0.199
45228a20,0.043
7f302cb0,0.28
9df21469,0.181
baf3e801,0.054
66b1e1fc,0.026
fdfa8de9,0.028
cdd8bff0,0.026
019ac712,0.0
c96353d2,0.071
33fd8777,0.032
57fda37b,0.001
8d4871e5,0.181
d8c206b4,0.16
50ddf0e6,0.01
4540ea89,0.037
8e96b9f3,0.119
0d4ff378,0.001
15a387cc,0.01
e5ca4cf8,0.012
3b63c0e7,0.005
1c895a10,0.061
16240ed7,0.069
5ccda85d,0.0
9c4c7c4f,0.101
469142a7,0.156
ac1583f1,0.015
55c12370,0.044
7bc14702,0.097
f8b0b255,0.054
404a56c8,0.039
845c97aa,0.076
3250bb4c,0.143
f008fa79,0.023
814907c9,0.004
59c58e14,0.002
e0cd7123,0.127
592d9dcc,0.205
c5d94b7e,0.0
e1bebdaa,0.0
16d8c2b9,0.001
9e150660,0.0
efa4a3a1,0.022
78c0f1fb,0.014
ba1bec4f,0.017
dba88b07,0.16
e57fce7a,0.099
59005136,0.022
b4fb0b1d,0.0
f3753b33,0.148
966e44f8,0.044
25b582b8,0.005
65f8d5cb,0.053
b3c6d9c9,0.058
e05a69dc,0.049
686caccf,0.038
7aaf6a5d,0.193
935b71e8,0.0
069b6014,0.0
d1234702,0.104
031bee81,0.0
a1366568,0.249
d4d0574c,0.165
a11ca9f4,0.039
2a617e51,0.05
69e0170f,0.155
103fe4b6,0.001
add5b338,0.087
a1c4090f,0.077
1a3bbb33,0.014
a5387dcc,0.007
04e15d15,0.009
f5b98da1,0.0
8e442787,0.075
6fe3a568,0.014570175438596494
b8d43db3,0.046
a9eeb58b,0.014
